split_seed,candidate_id,display_name,candidate_model_type,candidate_family,K,L,selection_metric,n_em_starts,model_type,model_family,em_start,em_seed,success,train_bic,train_aic,heldout_bic,heldout_aic,train_log_likelihood,heldout_log_likelihood,train_avg_log_likelihood,heldout_avg_log_likelihood,train_gmpd,heldout_gmpd,n_free_params,n_iter,converged,fit_time,n_train,n_test
29,ind_cyl_k3,"Independent cylindrical mixture, K=3",cylindrical_mixture,independent,3,,train_bic,1,cylindrical_mixture,independent,0,864365837,True,1183464.920266293,1183117.8251632494,298028.2224560557,297729.64672103454,-591523.9125816247,-148829.82336051727,-3.948968653744023,-3.974200201888362,0.0192745702838677,0.018794327152503138,35,34,True,9.12422858300124,149792,37449
29,ind_cyl_k6,"Independent cylindrical mixture, K=6",cylindrical_mixture,independent,6,,train_bic,1,cylindrical_mixture,independent,0,1772637737,True,1146192.3397721439,1145488.2325631129,289071.15875329083,288465.4765479622,-572673.1162815564,-144161.7382739811,-3.8231221712878956,-3.849548406472298,0.021859445308353955,0.02128934839981038,71,44,True,18.118286083001294,149792,37449
29,full_cyl_k3,"Full cylindrical mixture, K=3",cylindrical_mixture,full,3,,train_bic,1,cylindrical_mixture,full,0,1851139943,True,1166204.0579610846,1165678.4568050473,293877.7929397158,293425.66396954085,-582786.2284025237,-146659.83198477043,-3.8906365386837996,-3.916254959672366,0.02043233592544007,0.019915539757110197,53,21,True,7.90698266599793,149792,37449
29,full_cyl_k6,"Full cylindrical mixture, K=6",cylindrical_mixture,full,6,,train_bic,1,cylindrical_mixture,full,0,357128680,True,1140745.2738245744,1139684.1545095558,287948.46330917196,287035.6746335358,-569735.0772547779,-143410.8373167679,-3.803508046189235,-3.829497111185022,0.022292431646083452,0.021720535898336592,107,65,True,26.926147999998648,149792,37449
29,gauss_vmf_tl_3x2,"Gaussian/vMF two-layer, (K,L)=(3,2)",two_layer_mixture,gaussian_vmf,3,2.0,train_bic,1,two_layer_mixture,gaussian_vmf,0,1927331966,True,1169373.2410099437,1168936.8928804032,294541.0408178624,294165.68846526433,-584424.4464402016,-147038.84423263217,-3.9015731577133734,-3.9263757171788876,0.02021009276114674,0.019714995948048604,44,64,True,28.119359292002628,149792,37449
29,gauss_vmf_tl_6x4,"Gaussian/vMF two-layer, (K,L)=(6,4)",two_layer_mixture,gaussian_vmf,6,4.0,train_bic,1,two_layer_mixture,gaussian_vmf,0,2109320222,True,1129942.8058796164,1128703.1805116038,285655.0692229977,284588.7273122078,-564226.5902558019,-142169.3636561039,-3.7667338059162168,-3.7963460614730407,0.023127478893912885,0.02245266280245819,125,80,True,91.15014662500471,149792,37449
29,vmf_gauss_tl_3x2,"vMF/Gaussian two-layer, (K,L)=(3,2)",two_layer_mixture,vmf_gaussian,3,2.0,train_bic,1,two_layer_mixture,vmf_gaussian,0,1950821813,True,1140956.2576818147,1140311.6524904482,287781.83139900607,287227.33360539534,-570090.8262452241,-143548.66680269767,-3.805882999393987,-3.833177569566548,0.022239550983509077,0.021640741300360058,65,24,True,11.65825733300153,149792,37449
29,vmf_gauss_tl_6x4,"vMF/Gaussian two-layer, (K,L)=(6,4)",two_layer_mixture,vmf_gaussian,6,4.0,train_bic,1,two_layer_mixture,vmf_gaussian,0,760753303,True,1119957.6395167531,1117468.4717777842,283958.4838878181,281817.269330952,-558483.2358888921,-140657.634665476,-3.7283916089570344,-3.7559783883541886,0.024031456749403535,0.023377567077168288,251,64,True,80.3506854169973,149792,37449
30,ind_cyl_k3,"Independent cylindrical mixture, K=3",cylindrical_mixture,independent,3,,train_bic,1,cylindrical_mixture,independent,0,621480092,True,1185163.5700948949,1184816.4749918513,294857.6875206418,294559.1117856206,-592373.2374959256,-147244.5558928103,-3.954638682278931,-3.9318688320865793,0.019165592166840034,0.01960699610923187,35,34,True,9.266727707996324,149792,37449
30,ind_cyl_k6,"Independent cylindrical mixture, K=6",cylindrical_mixture,independent,6,,train_bic,1,cylindrical_mixture,independent,0,220495923,True,1148131.0434015347,1147426.9361925037,285669.42787780333,285063.7456724747,-573642.4680962518,-142460.87283623734,-3.829593490281536,-3.8041302260737893,0.021718442593587944,0.022278566057427923,71,53,True,20.665605540998513,149792,37449
30,full_cyl_k3,"Full cylindrical mixture, K=3",cylindrical_mixture,full,3,,train_bic,1,cylindrical_mixture,full,0,462814510,True,1167764.1851445073,1167238.58398847,290844.6164814167,290392.48751124175,-583566.291994235,-145143.24375562088,-3.89584418389657,-3.875757530391222,0.020326208146826216,0.020738621785469515,53,25,True,8.360087415996531,149792,37449
